Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,ID
113,RJ Barrett,24,TOR,SF,58,58,1869,0.468,10.9,0.688,0.354,0.273,0.049,0.012,0.312,0.522,0.624,0.392,0.542,0.417,0.35,0.459,0.925,0.032,27,0.229,0.4,1,0,,barrerj01
258,Jusuf Nurkić,30,2TM,C,51,32,1063,0.477,10.9,0.702,0.293,0.375,0.028,0.006,0.298,0.551,0.689,0.47,0.3,0,0.305,0.676,0.969,0.065,20,0.105,0.455,1,0,,nurkiju01
269,Kyle Anderson,31,2TM,PF,61,4,1002,0.469,10.9,0.769,0.185,0.429,0.102,0.053,0.231,0.502,0.714,0.469,0.355,0.313,0.357,0.496,0.96,0.036,10,0.443,0.452,4,0,,anderky01
538,Leonard Miller,21,MIN,SF,13,0,32,0.4,10.9,0.667,0.4,0.2,0.067,0,0.333,0.6,0.667,0.667,0,,0,0.667,,0.067,1,0,,0,0,,millele01
232,John Collins,27,UTA,PF,40,31,1220,0.527,11,0.721,0.234,0.371,0.066,0.051,0.279,0.577,0.702,0.548,0.343,0.519,0.399,0.647,0.966,0.13,66,0.385,0.439,0,0,,collijo01
343,Daniel Theis,32,NOP,C,38,9,621,0.473,11.1,0.713,0.31,0.271,0.116,0.016,0.287,0.565,0.7,0.457,0.467,0.5,0.243,0.75,1,0.116,11,0.243,0,0,0,,theisda01
281,Bruce Brown,28,2TM,PG,41,12,922,0.421,11.1,0.738,0.265,0.278,0.172,0.023,0.262,0.452,0.646,0.337,0.358,0.286,0.333,0.65,0.963,0.023,6,0.506,0.39,1,0,,brownbr01
376,Wendell Moore Jr.,23,2TM,SG,36,1,499,0.468,11.1,0.675,0.389,0.175,0.071,0.04,0.325,0.529,0.612,0.5,0.333,0.2,0.341,0.6,0.929,0.04,5,0.537,0.409,0,0,,moorewe01
79,Kelly Oubre Jr.,29,PHI,SF,60,57,2078,0.47,11.3,0.673,0.328,0.266,0.067,0.012,0.327,0.555,0.704,0.452,0.26,0.444,0.293,0.534,0.972,0.097,63,0.318,0.351,0,0,,oubreke01
246,Jonathan Kuminga,22,GSW,PF,47,10,1144,0.454,11.3,0.734,0.22,0.371,0.113,0.03,0.266,0.508,0.736,0.455,0.328,0.176,0.305,0.519,0.891,0.095,48,0.305,0.283,2,0,,kuminjo01
190,Tari Eason,23,HOU,PF,57,16,1420,0.487,11.3,0.671,0.377,0.193,0.075,0.025,0.329,0.557,0.678,0.435,0.405,0.143,0.342,0.531,0.984,0.1,47,0.364,0.358,1,0,,easonta01
120,Keldon Johnson,25,SAS,SF,77,0,1838,0.482,11.3,0.644,0.336,0.277,0.023,0.008,0.356,0.573,0.703,0.451,0.333,0,0.318,0.627,0.897,0.044,30,0.339,0.29,0,0,,johnske04
2,Josh Hart,29,NYK,SG,77,77,2897,0.525,11.3,0.673,0.408,0.162,0.066,0.036,0.327,0.618,0.732,0.44,0.412,0.5,0.333,0.613,0.869,0.03,21,0.258,0.308,1,0,,hartjo01
514,PJ Hall,22,DEN,C,19,0,66,0.583,11.3,0.667,0.375,0.208,0.083,0,0.333,0.75,0.778,0.6,1,,0.25,0.833,1,0.208,5,0,,0,0,,hallpj01
537,Bryce McGowens,22,POR,SG,13,0,32,0.286,11.3,0.714,0.143,0.429,0.143,0,0.286,0.4,1,0.167,0.5,,0,0.75,,0.143,2,0.25,0,0,0,,mcgowbr01
12,Bam Adebayo,27,MIA,C,78,78,2674,0.485,11.4,0.801,0.213,0.285,0.247,0.057,0.199,0.517,0.705,0.461,0.436,0.444,0.357,0.605,0.886,0.123,125,0.29,0.453,0,0,DPOY-10,adebaba01
112,Derrick Jones Jr.,27,LAC,SF,77,55,1873,0.526,11.4,0.628,0.357,0.239,0.019,0.014,0.372,0.627,0.752,0.461,0.455,0.5,0.356,0.741,1,0.209,112,0.507,0.351,1,0,,jonesde02
346,Zeke Nnaji,24,DEN,PF,57,4,608,0.496,11.4,0.631,0.383,0.199,0.007,0.043,0.369,0.596,0.741,0.321,1,0.5,0.327,0.792,0.941,0.184,22,0.519,0.296,0,0,,nnajize01
21,Nikola Jokić,29,DEN,C,70,70,2571,0.576,11.5,0.757,0.235,0.403,0.078,0.042,0.243,0.627,0.725,0.605,0.491,0.544,0.417,0.653,0.862,0.019,25,0.045,0.533,22,2,MVP-2CPOY-2ASNBA1,jokicni01
511,Josh Christopher,23,MIA,SG,14,0,69,0.355,11.5,0.645,0.419,0.161,0.065,0,0.355,0.45,0.538,0.2,0.5,,0.182,0.556,1,0.097,2,0.182,0,0,0,,chrisjo01
556,Braxton Key,27,GSW,SF,3,0,11,0,11.5,0.75,0,0.5,0.25,0,0.25,0,,0,0,,0,,,0.25,0,0,,0,0,,keybr01
358,Malcolm Brogdon,32,WAS,PG,24,13,564,0.433,11.5,0.767,0.296,0.242,0.129,0.1,0.233,0.478,0.676,0.362,0.355,0.333,0.286,0.364,0.938,0,0,0.089,0.4,1,0,,brogdma01
274,Zach Collins,27,2TM,PF,64,12,977,0.507,11.6,0.649,0.358,0.235,0.046,0.01,0.351,0.617,0.722,0.521,0.357,0.333,0.302,0.818,1,0.073,19,0.236,0.28,1,0,,colliza01
434,Kobe Brown,25,LAC,PF,40,0,272,0.458,11.6,0.639,0.319,0.264,0.056,0,0.361,0.587,0.739,0.526,0,,0.231,0.556,1,0.097,6,0.231,0.5,0,0,,brownko01
290,Kelly Olynyk,33,2TM,C,44,22,891,0.5,11.6,0.705,0.336,0.231,0.078,0.06,0.295,0.534,0.667,0.435,0.381,0.375,0.418,0.564,0.818,0.015,4,0.127,0.6,0,0,,olynyke01
272,Dalen Terry,22,CHI,SG,73,5,987,0.448,11.7,0.612,0.366,0.224,0.011,0.011,0.388,0.506,0.602,0.383,0,0.333,0.356,0.602,1,0.049,13,0.423,0.386,0,0,,terryda01
500,Luke Travers,23,CLE,SG,12,0,88,0.25,11.7,0.55,0.55,0,0,0,0.45,0.455,0.455,,,,0,0.8,,0.2,3,0.444,0,0,0,,travelu01
185,Aaron Gordon,29,DEN,PF,51,42,1447,0.531,11.8,0.654,0.348,0.195,0.07,0.04,0.346,0.582,0.665,0.464,0.571,0.45,0.436,0.566,0.867,0.141,63,0.36,0.484,1,0,,gordoaa01
453,Luka Garza,26,MIN,C,39,0,219,0.495,11.8,0.657,0.286,0.267,0.105,0,0.343,0.609,0.7,0.607,0.364,,0.278,0.714,1,0.048,5,0.083,0,0,0,,garzalu01
402,Anthony Gill,32,WAS,PF,51,0,397,0.489,11.8,0.648,0.295,0.33,0.011,0.011,0.352,0.579,0.654,0.552,0,0,0.323,0.606,1,0.011,1,0.387,0.333,0,0,,gillan01
539,Jahmir Young,24,CHI,PG,6,0,30,0.8,11.9,0.6,0.6,0,0,0,0.4,1,1,,,,0.5,0,0,0,0,0,,0,0,,youngja05
18,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,0.519,12.9,0.737,0.206,0.231,0.222,0.079,0.263,0.571,0.742,0.492,0.548,0.42,0.375,0.212,0.35,0.028,46,0.034,0.333,1,0,MVP-1DPOY-10CPOY-8ASNBA1,gilgesh01
103,Naji Marshall,27,DAL,SF,69,31,1919,0.508,12,0.694,0.25,0.33,0.098,0.015,0.306,0.611,0.73,0.528,0.571,0.727,0.275,0.483,1,0.038,20,0.482,0.295,8,0,,marshna01
338,AJ Johnson,20,2TM,SG,29,11,639,0.385,12,0.577,0.291,0.258,0.028,0,0.423,0.472,0.565,0.418,0,,0.267,0.534,0.667,0.099,15,0.122,0.364,2,0,,johnsaj01
29,Cade Cunningham,23,DET,PG,70,70,2452,0.469,12.6,0.713,0.167,0.362,0.129,0.056,0.287,0.515,0.605,0.497,0.479,0.444,0.356,0.228,0.57,0.033,39,0.048,0.4,4,0,MVP-7ASNBA3,cunnica01
135,Wendell Carter Jr.,25,ORL,C,68,51,1758,0.46,12.1,0.678,0.324,0.196,0.1,0.059,0.322,0.568,0.748,0.417,0.429,0.31,0.234,0.757,1,0.179,78,0.361,0.263,0,0,,cartewe01
219,Ron Holland,19,DET,SF,81,2,1266,0.474,12.1,0.637,0.296,0.288,0.038,0.014,0.363,0.608,0.691,0.55,0.5,0.333,0.238,0.596,1,0.091,34,0.483,0.205,3,0,,hollaro01
378,Brandon Williams,25,DAL,PG,33,3,487,0.521,12.1,0.681,0.356,0.218,0.069,0.037,0.319,0.578,0.672,0.415,0.615,0.571,0.4,0.297,0.833,0.005,1,0.2,0.417,2,0,,willibr03
267,Kris Murray,24,POR,SF,69,6,1040,0.419,12.2,0.57,0.358,0.208,0,0.004,0.43,0.566,0.65,0.414,,1,0.225,0.589,0.963,0.129,34,0.475,0.263,0,0,,murrakr01
273,Andre Jackson Jr.,23,MIL,SG,67,43,980,0.477,12.2,0.614,0.371,0.152,0.076,0.015,0.386,0.529,0.658,0.3,0.4,0.333,0.395,0.656,0.967,0.147,23,0.566,0.372,0,0,,jacksan01
451,Jared Rhoden,25,2TM,SG,14,2,227,0.483,12.2,0.552,0.425,0.08,0.023,0.023,0.448,0.625,0.73,0.429,0,0,0.308,0.7,0.75,0.103,9,0.462,0.444,0,0,,rhodeja01
349,Ajay Mitchell,22,OKC,SG,36,1,597,0.495,12.2,0.674,0.217,0.353,0.065,0.038,0.326,0.548,0.625,0.492,0.833,0.143,0.383,0.397,0.957,0.005,0,0.267,0.375,1,0,,mitchaj01
557,Cui Yongxi,21,BRK,SG,5,0,10,0.143,12.2,0.571,0.429,0.143,0,0,0.429,0.25,0.333,0,,,0,1,,0,0,0.667,0,0,0,,cuiyo01
122,P.J. Washington,26,DAL,PF,57,56,1835,0.453,12.3,0.641,0.223,0.332,0.068,0.018,0.359,0.493,0.703,0.38,0.4,0.333,0.381,0.524,0.901,0.054,34,0.331,0.367,0,0,,washipj01
119,Isaiah Collier,20,UTA,PG,71,46,1839,0.422,12,0.695,0.209,0.368,0.094,0.025,0.305,0.497,0.698,0.451,0.288,0.286,0.249,0.349,0.595,0.027,15,0.26,0.341,5,1,,colliis01
107,Anthony Black,21,ORL,PG,78,10,1887,0.423,12,0.685,0.255,0.308,0.071,0.052,0.315,0.471,0.627,0.414,0.25,0.344,0.318,0.435,0.839,0.06,30,0.39,0.395,1,0,,blackan01
370,Craig Porter Jr.,24,CLE,PG,51,1,513,0.514,12.3,0.657,0.343,0.2,0.079,0.036,0.343,0.554,0.708,0.393,0.455,0.2,0.438,0.529,0.714,0.05,6,0.25,0.333,2,1,,portecr01
56,Julius Randle,30,MIN,PF,69,69,2226,0.485,12.4,0.666,0.252,0.262,0.121,0.03,0.334,0.555,0.751,0.423,0.465,0.429,0.344,0.447,0.843,0.052,46,0.21,0.273,1,0,,randlju01
24,Pascal Siakam,30,IND,PF,78,78,2548,0.519,12.4,0.726,0.218,0.258,0.179,0.071,0.274,0.568,0.771,0.544,0.441,0.345,0.389,0.589,0.976,0.041,45,0.29,0.404,1,0,AS,siakapa01
291,Chet Holmgren,22,OKC,C,32,32,877,0.49,12.4,0.66,0.29,0.226,0.117,0.026,0.34,0.547,0.747,0.442,0.25,0.556,0.379,0.642,1,0.117,39,0.164,0.421,1,0,,holmgch01
196,Ayo Dosunmu,25,CHI,SG,46,26,1394,0.492,12.4,0.579,0.372,0.176,0.027,0.004,0.421,0.612,0.707,0.456,0.333,0.5,0.328,0.553,0.935,0.027,11,0.407,0.351,0,0,,dosunay01
389,Jaylon Tyson,22,CLE,SG,47,3,453,0.43,12.4,0.611,0.302,0.242,0.054,0.013,0.389,0.484,0.533,0.444,0.375,0.5,0.345,0.477,0.85,0.047,5,0.448,0.346,0,0,,tysonja01
333,Tosan Evbuomwan,23,BRK,SF,28,0,665,0.427,12.4,0.65,0.186,0.345,0.095,0.023,0.35,0.49,0.732,0.382,0.476,0.2,0.312,0.557,1,0.023,4,0.416,0.281,0,0,,evbuoto01
439,Drew Timme,24,BRK,PF,9,2,254,0.441,12.4,0.657,0.284,0.255,0.108,0.01,0.343,0.537,0.69,0.346,0.545,1,0.257,0.694,1,0.029,3,0.171,0.333,1,0,,timmedr01
460,Markelle Fultz,26,SAC,PG,21,0,184,0.418,12.4,0.881,0.075,0.299,0.358,0.149,0.119,0.407,0.8,0.25,0.583,0.1,0.5,0.5,1,0.045,2,0.625,0.4,0,0,,fultzma01
504,Marcus Garrett,26,CHO,SG,4,0,79,0.407,12.4,0.704,0.111,0.407,0.185,0,0.296,0.421,0.667,0.455,0.2,,0.375,0.25,1,0,0,0.375,0.333,0,0,,garrema01
89,Franz Wagner,23,ORL,SF,60,60,2023,0.463,12.5,0.697,0.214,0.349,0.091,0.043,0.303,0.535,0.726,0.452,0.491,0.36,0.295,0.446,0.692,0.036,39,0.111,0.436,3,0,,wagnefr01
347,Kessler Edwards,24,DAL,SF,40,18,608,0.496,12.5,0.6,0.311,0.207,0.067,0.015,0.4,0.556,0.667,0.464,0.333,0.5,0.407,0.822,1,0.104,12,0.5,0.37,0,0,,edwarke02
176,Ja Morant,25,MEM,PG,50,50,1519,0.454,12.7,0.679,0.233,0.309,0.11,0.027,0.321,0.523,0.691,0.436,0.449,0.375,0.309,0.237,0.614,0.022,17,0.179,0.314,6,0,,moranja01
47,Nikola Vučević,34,CHI,C,73,72,2278,0.53,12.5,0.691,0.214,0.319,0.118,0.04,0.309,0.587,0.689,0.565,0.508,0.452,0.402,0.758,0.992,0.012,10,0.084,0.407,1,0,,vucevni01
52,De'Aaron Fox,27,2TM,PG,62,62,2241,0.463,14.4,0.672,0.156,0.255,0.153,0.108,0.328,0.538,0.698,0.53,0.472,0.421,0.31,0.318,0.669,0.019,22,0.16,0.328,2,0,,foxde01
71,Scottie Barnes,23,TOR,PF,65,65,2134,0.446,12.6,0.737,0.219,0.26,0.176,0.082,0.263,0.508,0.687,0.428,0.476,0.356,0.271,0.452,0.737,0.066,60,0.132,0.351,5,0,,barnesc01
39,Jalen Brunson,28,NYK,PG,65,65,2301,0.488,14.2,0.669,0.149,0.255,0.181,0.084,0.331,0.539,0.676,0.497,0.525,0.455,0.383,0.236,0.461,0,0,0.144,0.404,0,0,MVP-10CPOY-1ASNBA2,brunsja01
323,Talen Horton-Tucker,24,CHI,SG,58,0,724,0.457,12.6,0.581,0.385,0.168,0.021,0.007,0.419,0.544,0.607,0.429,0.5,0,0.336,0.348,0.878,0.045,12,0.213,0.423,0,0,,hortota01
526,Malachi Flynn,26,CHO,PG,4,0,44,0.385,12.6,0.692,0.154,0.462,0.077,0,0.308,0.444,1,0.333,0,,0.25,0.5,1,0,0,0,,0,0,,flynnma01
65,Stephon Castle,20,SAS,PG,81,47,2162,0.428,12.6,0.663,0.311,0.217,0.084,0.052,0.337,0.501,0.655,0.369,0.373,0.333,0.285,0.46,0.789,0.078,69,0.147,0.347,4,0,ROY-1,castlst01
505,Jacob Toppin,24,2TM,SF,17,0,76,0.409,12.7,0.545,0.318,0.136,0.091,0,0.455,0.333,0.286,0.333,0.5,,0.5,0.5,1,0.045,1,0.6,0.667,0,0,,toppija01
15,Jaden McDaniels,24,MIN,PF,82,82,2614,0.477,12.8,0.637,0.253,0.23,0.121,0.032,0.363,0.561,0.73,0.427,0.535,0.296,0.33,0.611,0.95,0.074,51,0.512,0.335,3,0,,mcdanja02
447,Johnny Davis,22,WAS,SG,34,0,242,0.41,12.8,0.628,0.295,0.218,0.09,0.026,0.372,0.51,0.652,0.412,0.286,0.5,0.241,0.68,1,0.103,6,0.345,0.2,0,0,,davisjo06
534,David Duke Jr.,25,SAS,SG,6,0,34,0.429,12.8,0.571,0.286,0.286,0,0,0.429,0.375,0.75,0,,,0.5,0.333,1,0,0,0.833,0.6,0,0,,dukeda01
73,Josh Giddey,22,CHI,PG,70,69,2117,0.465,12.3,0.652,0.277,0.276,0.076,0.023,0.348,0.512,0.584,0.5,0.377,0.222,0.378,0.414,0.895,0.013,9,0.277,0.39,1,1,,giddejo01
66,Deni Avdija,24,POR,SF,72,54,2161,0.476,12.9,0.595,0.322,0.219,0.026,0.027,0.405,0.552,0.665,0.416,0.364,0.478,0.365,0.448,0.848,0.027,20,0.181,0.323,1,0,,avdijde01
433,Josh Minott,22,MIN,SF,46,0,276,0.489,12.9,0.522,0.422,0.089,0.011,0,0.478,0.638,0.658,0.625,0,,0.326,0.7,1,0.178,15,0.605,0.346,0,0,,minotjo01
527,Phillip Wheeler,22,PHI,PF,5,0,44,0.143,12.9,0.524,0.381,0.143,0,0,0.476,0.273,0.25,0.333,,,0,0.333,,0.095,0,0.3,0,0,0,,wheelph02
448,Jaylen Martin,21,2TM,SF,16,0,239,0.419,13,0.689,0.23,0.351,0.095,0.014,0.311,0.471,0.765,0.385,0.143,0,0.304,0.667,1,0.068,4,0.304,0.143,0,0,,martija02
38,Tobias Harris,32,DET,PF,73,73,2305,0.477,13.1,0.672,0.168,0.293,0.168,0.043,0.328,0.542,0.77,0.475,0.489,0.314,0.345,0.539,0.934,0.075,56,0.447,0.39,0,0,,harrito02
58,Jaren Jackson Jr.,25,MEM,C,74,74,2207,0.488,13.1,0.679,0.119,0.415,0.134,0.011,0.321,0.541,0.667,0.518,0.509,0.462,0.375,0.451,0.952,0.029,31,0.206,0.4,5,0,DPOY-7ASDEF2,jacksja02
134,Collin Sexton,26,UTA,SG,63,61,1758,0.48,13.1,0.687,0.151,0.34,0.135,0.061,0.313,0.513,0.618,0.512,0.487,0.321,0.406,0.373,0.682,0.006,3,0.214,0.448,1,0,,sextoco01
531,Harrison Ingram,22,SAS,SF,5,0,35,0.5,13.1,0.75,0.25,0.25,0,0.25,0.25,0.667,1,1,,0,0,0.5,,0,0,0,,0,0,,ingraha01
175,Kyle Filipowski,21,UTA,C,72,27,1522,0.502,13.2,0.575,0.218,0.32,0.031,0.006,0.425,0.614,0.726,0.53,0.75,0.333,0.35,0.579,0.935,0.098,47,0.336,0.351,1,0,,filipky01
69,Bennedict Mathurin,22,IND,SF,72,49,2149,0.458,13.2,0.662,0.273,0.237,0.066,0.087,0.338,0.519,0.635,0.485,0.393,0.338,0.34,0.584,0.714,0.049,39,0.139,0.4,3,0,,mathube01
142,Ochai Agbaji,24,TOR,SG,64,45,1739,0.498,13.2,0.526,0.365,0.124,0.028,0.009,0.474,0.587,0.672,0.439,0.2,0.4,0.399,0.794,0.96,0.069,33,0.542,0.416,0,0,,agbajoc01
111,Cason Wallace,21,OKC,SG,68,43,1876,0.474,13.2,0.575,0.272,0.233,0.055,0.014,0.425,0.562,0.662,0.491,0.407,0.429,0.356,0.563,0.986,0.065,29,0.438,0.341,0,0,,wallaca01
342,Josh Okogie,26,2TM,SG,40,7,625,0.443,13.2,0.566,0.283,0.25,0.028,0.005,0.434,0.517,0.733,0.302,0.333,0,0.348,0.629,1,0.08,14,0.522,0.396,0,0,,okogijo01
233,Caleb Martin,29,2TM,SF,45,24,1218,0.424,13.2,0.661,0.243,0.181,0.082,0.155,0.339,0.458,0.608,0.327,0.56,0.319,0.359,0.435,0.973,0.03,7,0.417,0.488,2,0,,martica02
387,Rayan Rupert,20,POR,SG,52,0,460,0.408,13.2,0.585,0.268,0.254,0.063,0,0.415,0.506,0.632,0.389,0.444,,0.271,0.524,0.813,0.035,5,0.339,0.35,0,0,,ruperra01
475,Oshae Brissett,26,PHI,SF,6,2,142,0.487,13.2,0.538,0.333,0.205,0,0,0.462,0.619,0.692,0.5,,,0.333,0.615,0.667,0.026,1,0.333,0.333,0,0,,brissos01
98,Bilal Coulibaly,20,WAS,SF,59,59,1948,0.421,13.3,0.641,0.268,0.218,0.096,0.059,0.359,0.5,0.749,0.346,0.283,0.297,0.281,0.51,0.905,0.128,72,0.232,0.346,0,0,,coulibi01
53,Jalen Williams,23,OKC,SG,69,69,2237,0.484,13.3,0.709,0.201,0.237,0.187,0.084,0.291,0.533,0.723,0.43,0.523,0.388,0.365,0.395,0.782,0.069,70,0.094,0.406,0,0,ASNBA3DEF2,willija06
365,Mouhamed Gueye,22,ATL,PF,33,28,533,0.421,13.3,0.526,0.339,0.129,0.053,0.006,0.474,0.567,0.655,0.364,0.556,0,0.259,0.824,1,0.17,25,0.593,0.25,0,0,,gueyemo02
396,Mo Bamba,26,2TM,C,32,2,413,0.464,13.3,0.518,0.259,0.214,0.027,0.018,0.482,0.638,0.793,0.458,0.667,0.5,0.278,0.649,1,0.107,10,0.352,0.263,0,0,,bambamo01
420,Keion Brooks Jr.,24,NOP,SF,14,6,332,0.486,13.3,0.606,0.275,0.202,0.11,0.018,0.394,0.591,0.8,0.318,0.5,1,0.326,0.718,1,0.092,8,0.395,0.412,0,0,,brookke02
310,Pelle Larsson,23,MIA,SG,55,8,782,0.438,13.3,0.532,0.345,0.158,0.03,0,0.468,0.528,0.614,0.438,0,,0.337,0.789,0.969,0.034,7,0.337,0.406,0,0,,larsspe01
413,Dante Exum,29,DAL,PG,20,13,372,0.478,13.3,0.604,0.261,0.239,0.075,0.03,0.396,0.506,0.657,0.375,0.3,0.75,0.434,0.415,0.913,0.03,2,0.321,0.588,1,0,,exumda01
32,LeBron James,40,LAL,SF,70,70,2444,0.513,13.4,0.688,0.242,0.23,0.113,0.104,0.312,0.574,0.782,0.473,0.503,0.394,0.376,0.382,0.691,0.056,71,0.088,0.343,2,0,MVP-6CPOY-7ASNBA2,jamesle01
67,Jaylen Brown,28,BOS,SF,63,63,2158,0.463,13.4,0.68,0.197,0.265,0.145,0.073,0.32,0.529,0.75,0.456,0.407,0.439,0.324,0.386,0.724,0.045,43,0.184,0.439,0,0,AS,brownja02
440,Marcus Bagley,23,PHI,SF,10,4,253,0.391,13.4,0.536,0.391,0.087,0.043,0.014,0.464,0.595,0.704,0.333,0.333,0,0.156,0.545,0.8,0.159,10,0.406,0.308,0,0,,baglema02
503,Kevin Knox,25,GSW,SF,14,0,84,0.5,13.4,0.583,0.194,0.306,0.056,0.028,0.417,0.667,0.714,0.727,0,1,0.267,0.643,1,0.111,4,0.4,0.167,0,0,,knoxke01
367,Jaylen Clark,23,MIN,SG,40,4,522,0.467,13.4,0.575,0.3,0.217,0.05,0.008,0.425,0.493,0.528,0.462,0.5,0,0.431,0.559,1,0.025,2,0.549,0.429,2,0,,clarkja02
263,Jared Butler,24,2TM,SG,60,17,1044,0.448,13.4,0.627,0.196,0.287,0.119,0.026,0.373,0.504,0.663,0.438,0.407,0.417,0.355,0.259,0.783,0,0,0.213,0.472,0,0,,butleja02
9,OG Anunoby,27,NYK,PF,74,74,2706,0.476,13.5,0.552,0.338,0.123,0.055,0.037,0.448,0.561,0.706,0.349,0.321,0.289,0.372,0.717,0.93,0.14,132,0.45,0.377,1,0,,anunoog01
117,Zaccharie Risacher,19,ATL,SF,75,73,1843,0.458,13.5,0.558,0.28,0.216,0.033,0.03,0.442,0.54,0.651,0.458,0.308,0.348,0.355,0.732,0.975,0.095,67,0.41,0.433,0,0,ROY-2,risacza01
193,Terance Mann,28,2TM,SG,67,13,1414,0.496,13.5,0.605,0.247,0.199,0.116,0.044,0.395,0.58,0.765,0.463,0.438,0.444,0.368,0.579,0.9,0.08,31,0.466,0.421,0,0,,mannte01
100,Kyle Kuzma,29,2TM,PF,65,62,1936,0.436,13.5,0.631,0.222,0.285,0.085,0.039,0.369,0.512,0.75,0.413,0.361,0.212,0.307,0.573,0.854,0.029,24,0.246,0.325,4,1,,kuzmaky01
337,Herbert Jones,26,NOP,SF,20,20,648,0.436,13.5,0.581,0.273,0.221,0.035,0.052,0.419,0.53,0.681,0.263,0.667,0.778,0.306,0.698,1,0.029,5,0.486,0.371,1,0,,joneshe01
356,Joel Embiid,30,PHI,C,19,19,574,0.444,13.5,0.756,0.194,0.194,0.203,0.165,0.244,0.492,0.623,0.508,0.422,0.404,0.299,0.538,0.957,0.016,5,0,,0,0,,embiijo01
473,Jeenathan Williams,25,HOU,SG,20,0,147,0.435,13.5,0.581,0.113,0.435,0.032,0,0.419,0.583,0.714,0.556,0.5,,0.231,0.619,1,0.016,1,0.5,0.231,0,0,,willije02
344,Jeff Dowtin Jr.,27,PHI,PG,41,3,621,0.487,13.5,0.696,0.209,0.217,0.187,0.083,0.304,0.525,0.604,0.44,0.628,0.316,0.4,0.298,0.607,0.004,1,0.2,0.5,0,0,,dowtije01
567,Alondes Williams,25,DET,SG,1,0,4,1,13.5,0.5,0.5,0,0,0,0.5,1,1,,,,1,0,1,0,0,0,,0,0,,willial06
425,Tre Mann,23,CHO,PG,13,0,319,0.435,13.6,0.627,0.273,0.205,0.099,0.05,0.373,0.455,0.455,0.515,0.375,0.375,0.4,0.174,0.542,0.006,1,0.217,0.385,0,0,,manntr01
535,D.J. Carton,24,TOR,SG,4,0,33,0.143,13.6,0.571,0.143,0.429,0,0,0.429,0.25,1,0,,,0,1,,0,0,0.333,0,0,0,,cartodj01
